217,0.03,6.72,-174.04
218,0.03,6.75,-174.75
219,0.03,6.79,-174.83
220,0.03,6.82,-174.89
221,0.03,6.85,-173.8
222,0.03,6.88,-173.29
223,0.03,6.91,-170.44
224,0.03,6.94,-169.59
225,0.03,6.97,-168.62
226,0.03,7,-163.48
227,0.03,7.03,-127.34
228,0.03,7.06,-107.33
229,0.03,7.1,-103.56
230,0.03,7.13,-99.5
231,0.03,7.16,-93
232,0.03,7.19,-87.69
233,0.03,7.22,-87.51
234,0.03,7.25,-82.33
235,0.03,7.28,-79.07
236,0.03,7.31,-79.77
237,0.03,7.34,-79.93
238,0.03,7.37,-80.16
239,0.03,7.41,-79.6
240,0.03,7.44,-79.93
241,0.03,7.47,-79.39
242,0.03,7.5,-77.56
243,0.03,7.53,-76.61
244,0.03,7.56,-74.89
245,0.03,7.59,-72.58
246,0.03,7.62,-72.22
247,0.03,7.65,-57.27
248,0.03,7.68,-35.6
249,0.03,7.72,-23.09
250,0.03,7.75,-20.33
251,0.03,7.78,-14.1
252,0.03,7.81,-6.14
253,0.03,7.84,-0.81
254,0.03,7.87,2.44
255,0.03,7.9,6.64
256,0.03,7.93,8.87
257,0.03,7.96,13.69
258,0.03,7.99,12.08
259,0.03,8.02,11.87
260,0.03,8.06,12.82
262,0.03,8.12,14.81
263,0.03,8.15,14.59
264,0.03,8.18,14.24
265,0.03,8.21,13.82
266,0.03,8.24,13.59
268,0.03,8.3,13.78
269,0.03,8.33,12.57
270,0.03,8.37,11.43
271,0.03,8.4,10.73
273,0.03,8.46,10.53
274,0.03,8.49,10.83
275,0.03,8.52,11.68
276,0.03,8.55,10.07
278,0.03,8.61,10.22
279,0.03,8.64,9.43
280,0.03,8.68,8.79
281,0.03,8.71,7.82
283,0.03,8.77,6.53
284,0.03,8.8,5.4
285,0.03,8.83,4.45
287,0.03,8.89,4.67
288,0.03,8.92,5.46
289,0.03,8.95,7.29
290,0.03,8.99,8.12
292,0.03,9.05,7.9
293,0.03,9.08,7.49
295,0.03,9.14,6.93
296,0.03,9.17,7.07
298,0.03,9.23,6.97
299,0.03,9.26,6.2
300,0.03,9.3,6.17
302,0.03,9.36,5.11
303,0.03,9.39,2.51
304,0.03,9.42,4.65
305,0.03,9.45,4.68
306,0.03,9.48,5.84
307,0.03,9.51,4.25
309,0.03,9.57,2.47
310,0.03,9.61,3.06
311,0.03,9.64,6.08
313,0.03,9.7,7.25
314,0.03,9.73,6.65
315,0.03,9.76,4.85
317,0.03,9.82,4.39
318,0.03,9.85,5.72
320,0.03,9.91,7.17
321,0.03,9.95,8.14
322,0.03,9.98,7.27
324,0.03,10.04,6.25
327,0.03,10.13,6.54
328,0.03,10.16,6.53
329,0.03,10.19,5.53
331,0.03,10.26,3.68
