1,0.03,0.03,18.68
2,0.03,0.06,45.00
3,0.03,0.09,46.76
4,0.03,0.12,47.33
5,0.03,0.15,48.45
6,0.03,0.19,49.24
7,0.03,0.22,53.43
8,0.03,0.25,49.77
9,0.03,0.28,52.67
10,0.03,0.31,54.16
11,0.03,0.34,54.22
12,0.03,0.37,54.67
13,0.03,0.40,55.07
14,0.03,0.43,55.20
15,0.03,0.46,55.36
16,0.03,0.50,56.41
17,0.03,0.53,58.74
18,0.03,0.56,57.62
19,0.03,0.59,59.90
20,0.03,0.62,60.33
21,0.03,0.65,61.71
22,0.03,0.68,61.21
23,0.03,0.71,61.32
24,0.03,0.74,60.77
25,0.03,0.77,61.22
26,0.03,0.81,64.62
27,0.03,0.84,66.69
28,0.03,0.87,65.09
29,0.03,0.90,66.58
30,0.03,0.93,68.91
31,0.03,0.96,69.58
33,0.03,1.02,71.31
35,0.03,1.08,71.89
36,0.03,1.12,72.66
37,0.03,1.15,73.22
38,0.03,1.18,74.96
39,0.03,1.21,74.76
40,0.03,1.24,69.82
41,0.03,1.27,70.89
42,0.03,1.30,72.68
43,0.03,1.33,72.57
44,0.03,1.36,73.29
45,0.03,1.39,71.61
46,0.03,1.43,73.10
47,0.03,1.46,75.54
48,0.03,1.49,77.02
49,0.03,1.52,76.55
50,0.03,1.55,76.40
51,0.03,1.58,77.75
53,0.03,1.64,79.71
54,0.03,1.67,79.87
55,0.03,1.70,81.32
56,0.03,1.74,80.56
57,0.03,1.77,81.75
58,0.03,1.80,81.77
59,0.03,1.83,82.95
60,0.03,1.86,82.58
61,0.03,1.89,77.79
62,0.03,1.92,81.25
63,0.03,1.95,85.35
64,0.03,1.98,84.94
65,0.03,2.01,86.79
66,0.03,2.04,87.16
67,0.03,2.08,87.52
68,0.03,2.11,87.46
69,0.03,2.14,87.58
70,0.03,2.17,91.29
71,0.03,2.20,91.18
72,0.03,2.23,88.44
73,0.03,2.26,88.16
74,0.03,2.29,90.13
75,0.03,2.32,89.32
76,0.03,2.35,89.03
77,0.03,2.39,88.99
78,0.03,2.42,88.77
79,0.03,2.45,88.45
80,0.03,2.48,90.65
81,0.03,2.51,91.08
82,0.03,2.54,87.70
83,0.03,2.57,83.35
84,0.03,2.60,77.40
85,0.03,2.63,73.12
86,0.03,2.66,70.18
87,0.03,2.70,65.01
88,0.03,2.73,60.17
89,0.03,2.76,57.55
90,0.03,2.79,50.84
91,0.03,2.82,53.12
92,0.03,2.85,34.55
93,0.03,2.88,64.17
94,0.03,2.91,68.15
95,0.03,2.94,66.98
96,0.03,2.97,66.72
97,0.03,3.01,68.03
98,0.03,3.04,72.00
99,0.03,3.07,72.11
100,0.03,3.10,72.69
101,0.03,3.13,71.76
102,0.03,3.16,74.19
103,0.03,3.19,73.17
104,0.03,3.22,73.89
105,0.03,3.25,72.75
106,0.03,3.28,73.30
107,0.03,3.32,73.94
108,0.03,3.35,74.53
109,0.03,3.38,74.36
110,0.03,3.41,69.93
111,0.03,3.44,70.11
112,0.03,3.47,75.04
113,0.03,3.50,74.22
114,0.03,3.53,75.75
115,0.03,3.56,75.52
116,0.03,3.59,76.27
117,0.03,3.63,78.84
118,0.03,3.66,81.00
119,0.03,3.69,80.27
120,0.03,3.72,78.21
121,0.03,3.75,80.15
122,0.03,3.78,81.94
123,0.03,3.81,81.50
124,0.03,3.84,80.03
125,0.03,3.87,82.89
126,0.03,3.90,84.53
127,0.03,3.93,84.89
128,0.03,3.97,85.82
